paofinning,pitchofpa,pitcher,pitcherthrows,batter,batterside,pitcherset,inning,top/bottom,outs,balls,strikes,taggedpitchtype,pitchcall,korbb,taggedhittype,playresult,outsonplay,runsscored,relspeed,vertrelangle,horzrelangle,spinrate,spinaxis,tilt,relheight,relside,extension,vertbreak,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,zonetime,exitspeed,angle,distance
1,1,Example Pitcher 1,Left,Example Batter 7,Left,Undefined,1,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,90.81076,-0.389965,3.696894,2187.2168,135.92232,10:30,5.91717,-1.68812,5.36144,-19.9045,14.79698,-13.23843,3.89199,0.68033,-4.112203,1.351071,0.42398,NULL,NULL,NULL
1,2,Example Pitcher 1,Left,Example Batter 7,Left,Undefined,1,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,90.60198,-0.634274,1.979704,2203.12,139.45468,10:45,5.70016,-1.92068,5.30401,-17.57792,17.39769,-13.88363,3.63952,-1.21842,-3.95037,-0.483508,0.425651,NULL,NULL,NULL
1,3,Example Pitcher 1,Left,Example Batter 7,Left,Undefined,1,Bottom,0,2,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,89.84701,-0.77144,3.021702,2351.305,132.74496,10:30,5.69821,-1.94438,5.6754,-17.43379,17.90903,-18.01509,3.52514,-0.62592,-4.100469,-0.193704,0.42788,NULL,NULL,NULL
1,4,Example Pitcher 1,Left,Example Batter 7,Left,Undefined,1,Bottom,0,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,78.90523,0.56374,2.406515,2433.3347,256.68906,2:30,5.69814,-1.69367,5.22587,-42.01963,3.40327,9.29949,2.72698,1.34507,-7.047855,4.052607,0.485075,NULL,NULL,NULL
1,5,Example Pitcher 1,Left,Example Batter 7,Left,Undefined,1,Bottom,0,3,1,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,90.21314,-0.115733,3.460206,2318.4023,133.38205,10:30,5.74051,-1.76535,5.37425,-19.6558,15.53076,-15.20812,3.99383,0.21536,-3.803336,0.763428,0.426933,NULL,NULL,NULL
2,1,Example Pitcher 1,Left,Example Batter 3,Right,Undefined,1,Bottom,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,77.54711,0.672775,0.883209,2331.422,268.84293,3:00,5.77075,-1.73701,5.17725,-46.28971,1.62465,3.12335,2.54645,-0.64558,-7.754444,1.436907,0.498201,NULL,NULL,NULL
2,2,Example Pitcher 1,Left,Example Batter 3,Right,Undefined,1,Bottom,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,90.40174,-0.700211,1.908133,2307.0986,135.98668,10:30,5.63367,-2.02732,5.34607,-18.75383,16.3532,-14.65686,3.41364,-1.45817,-4.228845,-0.694719,0.42645,NULL,NULL,NULL
2,3,Example Pitcher 1,Left,Example Batter 3,Right,Undefined,1,Bottom,0,1,1,Fastball,InPlay,Undefined,LineDrive,Out,1,0,90.2042,-0.982222,3.193585,2348.0452,133.8456,10:30,5.63733,-1.8809,5.40382,-19.4334,15.78725,-15.19973,3.09599,-0.15196,-4.632633,0.495051,0.42714,96.51844,20.564503,323.11957
3,1,Example Pitcher 1,Left,Example Batter 9,Left,Undefined,1,Bottom,1,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,77.31073,0.570603,2.616826,2343.8682,203.13005,12:45,5.71605,-1.75311,5.30433,-40.87916,7.18993,2.40004,2.8457,0.90519,-6.918439,3.042262,0.499004,NULL,NULL,NULL
3,2,Example Pitcher 1,Left,Example Batter 9,Left,Undefined,1,Bottom,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,75.94519,1.674334,-0.184833,2308.1992,231.65324,1:45,5.79512,-1.69627,5.17688,-43.96038,5.50744,5.12095,3.70774,-1.44345,-6.339831,0.722205,0.506212,NULL,NULL,NULL
